student_id,enrolled_college,enrollment_date,first_year_gpa
100001,No,2022-11-11,
100002,YES,2023-06-24,7.5
100003,No,2021-08-05,
100004,YES,,3.09
100005,Yes,2023-07-15,3.02
100006,No,2024-08-27,
100007,No,2022-12-23,
100008,No,2022-01-31,
100009,No,2022-01-03,
100010,Yes,2023-05-16,2.26
100011,Yes,2022-09-29,1.77
100012,No,2021-11-19,
100013,No,2023-01-10,
100014,No,2022-02-08,
100015,No,2024-07-27,
100016,No,2023-12-18,
100017,False,2022-11-29,
100018,0,2023-11-28,
100019,Yes,2023-07-31,3.22
100020,Yes,2022-07-18,2.41
100021,No,2022-12-11,
100022,No,2023-08-28,
100023,No,2021-12-19,
100024,No,2022-09-17,
100025,No,2022-10-09,
100026,No,2021-11-11,
100027,0,2024-05-05,
100028,Yes,2024-02-14,2.23
100029,Yes,2022-01-13,2.22
100030,No,2023-05-23,
100031,No,2024-01-09,
100032,No,2023-09-16,
100033,Y,2022-04-03,3.28
100034,1,2022-08-02,0.83
100035,No,2021-11-15,
100036,No,2022-03-10,
100037,No,,
100038,No,2023-11-23,
100039,No,2021-11-14,
100040,No,2022-05-23,
100041,Yes,2023-03-09,2.52
100042,No,2024-04-18,
100043,No,2024-06-08,
100044,No,2022-01-12,
100045,Yes,2024-03-04,2.61
100046,Yes,2023-07-28,2.42
100047,No,2022-08-20,
100048,No,2023-03-20,
100049,No,2022-10-31,
100050,NO,2024-03-26,
100051,No,2023-08-01,
100052,No,2022-05-21,
100053,No,2023-03-13,
100054,No,2024-07-02,
100055,Yes,2021-11-08,2.13
100056,Yes,2021-12-30,2.25
100057,Yes,2023-01-20,3.79
100058,No,2022-03-20,
100059,No,2021-12-13,
100060,No,2023-03-19,
100061,No,2023-01-12,
100062,no,2022-03-17,
100063,No,2023-05-29,
100064,No,2021-12-29,
100065,Yes,2023-10-25,3.11
100066,No,2024-07-16,
100067,Yes,2022-12-30,2.5
100068,No,2024-04-05,
100069,Yes,2024-08-29,3.15
100070,No,2022-06-09,
100071,False,2022-08-30,
100072,No,2023-02-09,
100073,No,2024-05-13,
100074,No,2023-07-15,
100075,Yes,2023-12-28,2.81
100076,no,2022-10-06,
100077,No,,
100078,No,2022-05-31,
100079,No,2022-09-28,
100080,No,2022-04-09,
100081,No,2024-02-23,
100082,No,2024-03-09,
100083,Yes,2022-01-29,2.5
100084,No,2021-09-16,
100085,Yes,2022-08-27,3.06
100086,Yes,2023-09-16,2.02
100087,No,2023-09-20,
100088,No,2023-08-14,
100089,Yes,2022-08-05,2.18
100090,No,2022-03-23,
100091,No,2023-04-23,
100092,No,2023-03-04,
100093,Yes,2022-12-28,2.98
100094,N,2022-02-24,
100095,No,2022-07-04,
100096,NO,2024-01-26,
100097,Yes,2022-06-20,2.74
100098,True,2022-09-10,2.58
100099,No,2024-03-07,
100100,Yes,2022-03-13,1.27
100101,No,2024-03-08,
100102,No,2021-12-29,
100103,NO,2022-04-24,
100104,No,2022-02-04,
100105,Yes,2022-01-26,2.08
100106,No,2022-11-22,
100107,NO,2023-02-05,
100108,Yes,2022-09-19,1.63
100109,No,2022-07-17,
100110,No,2023-09-15,
100111,No,2023-01-25,
100112,Yes,2022-02-24,1.71
100113,No,2023-07-23,
100114,Yes,2022-10-06,2.26
100115,Yes,2021-11-24,1.97
100116,No,2023-10-01,
100117,No,2021-09-13,
100118,Yes,2022-04-30,1.93
100119,Yes,2021-11-07,3.77
100120,No,2022-02-01,
100121,No,2021-11-17,
100122,No,2022-08-20,
100123,No,2024-04-06,
100124,Yes,2023-01-17,2.74
100125,No,2023-11-09,
100126,Yes,2022-03-13,1.47
100127,No,2024-05-08,
100128,No,2022-09-28,
100129,No,2024-07-22,
100130,No,2023-09-25,
100131,no,2024-03-24,
100132,Yes,2021-12-06,2.63
100133,Y,2022-07-31,3.41
100134,No,2024-06-01,
100135,No,2023-07-25,
100136,No,2023-08-19,
100137,No,2023-12-20,
100138,No,2021-10-26,
100139,No,2023-12-10,-1.0
100140,No,2024-07-01,
100141,0,2024-06-30,
100142,False,2022-11-08,
100143,No,,
100144,No,2022-12-24,
100145,No,2022-08-01,
100146,Yes,2023-12-30,2.85
100147,No,2022-09-29,
100148,Yes,2023-08-19,2.51
100149,Yes,2024-01-07,2.75
100150,Yes,2023-11-17,2.06
100151,Yes,2023-07-20,2.29
100152,No,2022-02-14,
100153,1,2024-01-12,2.53
100154,Yes,2023-07-26,2.87
100155,YES,2022-04-17,2.67
100156,Yes,2024-06-15,2.33
100157,No,2023-11-20,
100158,No,2021-09-18,
100159,No,2024-07-02,
100160,No,2022-08-06,
100161,No,2024-02-29,
100162,Yes,2023-07-27,2.32
100163,No,2023-03-01,
100164,No,2022-06-29,
100165,Yes,2023-09-04,1.99
100166,Yes,2022-09-09,1.9
100167,Yes,2022-11-08,3.51
100168,Yes,2023-08-08,3.99
100169,No,2021-09-09,
100170,Yes,2022-05-04,2.12
100171,Yes,2021-08-15,2.7
100172,Yes,2021-09-17,2.35
100173,No,2022-11-20,
100174,No,2022-12-26,
100175,No,2022-05-14,
100176,No,2023-11-16,
100177,Yes,2023-12-12,2.83
100178,No,2022-11-21,
100179,N,2022-10-28,
100180,Yes,2023-05-17,2.82
100181,No,2023-08-05,
100182,No,2024-01-24,
100183,No,2022-02-17,
100184,Yes,2021-11-25,2.54
100185,No,2021-11-02,
100186,No,2023-12-09,
100187,No,2022-02-04,
100188,1,2023-07-20,1.96
100189,No,2021-11-18,
100190,Yes,2023-09-08,3.59
100191,No,2024-02-10,
100192,Yes,2024-04-24,1.96
100193,Yes,2024-08-08,3.49
100194,Yes,2024-04-04,1.93
100195,Yes,2021-12-08,2.44
100196,Y,2024-05-17,-1.0
100197,Yes,2022-05-17,1.88
100198,Yes,2024-08-22,2.92
100199,False,2024-04-12,
100200,0,2023-01-03,
100201,Yes,2024-01-31,2.44
100202,NO,2022-02-07,
100203,Yes,2023-04-02,3.11
100204,No,2022-08-21,
100205,Yes,2023-12-24,2.15
100206,Yes,2024-03-11,2.6
100207,False,2021-09-16,
100208,NO,2024-08-21,
100209,No,2023-01-28,
100210,No,2022-11-26,
100211,NO,2023-02-09,
100212,N,2024-04-06,
100213,Yes,2024-04-28,1.67
100214,Yes,2022-09-10,2.7
100215,No,2022-03-05,
100216,Yes,2022-10-29,1.63
100217,1,2024-07-19,2.89
100218,No,2021-11-11,
100219,Yes,2023-06-09,2.77
100220,No,2022-07-23,
100221,Yes,2021-08-31,3.29
100222,No,2022-10-13,
100223,Yes,2023-06-30,3.01
100224,Yes,2023-12-21,2.21
100225,Yes,2021-08-11,3.36
100226,No,2021-12-24,
100227,No,2024-08-14,
100228,No,2023-02-03,
100229,Yes,2021-09-17,1.89
100230,No,2021-12-30,
100231,Yes,2022-08-20,2.22
100232,No,2024-03-25,
100233,0,2022-02-07,
100234,False,2024-08-12,
100235,NO,2021-10-19,
100236,No,2021-09-14,
100237,No,2023-05-01,
100238,No,2022-02-26,
100239,No,2024-06-24,
100240,Yes,2021-12-11,3.02
100241,No,2022-01-20,
100242,Yes,2021-09-11,2.9
100243,No,2021-09-25,
100244,Yes,2024-07-26,2.68
100245,no,2023-01-30,
100246,No,2022-01-25,
100247,Yes,2022-09-29,2.18
100248,No,2024-02-16,
100249,No,2024-02-15,
100250,Yes,2021-10-10,2.69
100251,No,2023-09-12,
100252,Yes,2022-09-07,2.55
100253,Yes,2022-01-26,1.89
100254,Yes,2022-10-14,1.83
100255,No,2022-09-26,
100256,Yes,2022-08-08,2.92
100257,No,2023-09-26,
100258,No,2023-07-10,
100259,Yes,2022-02-10,2.84
100260,0,2023-01-19,
100261,No,2024-08-07,
100262,Yes,2022-05-29,2.86
100263,Yes,2023-08-05,2.5
100264,Yes,2021-12-30,2.61
100265,No,2023-12-04,
100266,Yes,2023-08-06,2.11
100267,No,2023-10-31,
100268,no,2024-05-10,
100269,No,2022-01-10,
100270,Yes,2021-08-19,2.74
100271,No,2021-08-29,
100272,No,2024-05-23,
100273,No,2022-03-15,
100274,Yes,2024-03-17,2.17
100275,False,2024-05-10,
100276,Yes,2022-03-21,2.8
100277,No,2023-11-08,
100278,No,2022-08-11,
100279,No,2023-03-15,
100280,False,2023-12-11,
100281,Yes,2024-05-21,2.77
100282,No,2023-01-13,
100283,No,2022-12-16,
100284,1,2023-12-14,2.34
100285,Yes,2024-08-13,2.67
100286,No,2022-12-22,
100287,No,2024-02-27,
100288,No,2024-01-07,
100289,No,2024-08-08,
100290,No,2022-05-13,
100291,No,2022-08-30,
100292,No,2021-09-02,
100293,No,2024-06-07,
100294,No,2023-02-21,
100295,False,2023-12-07,
100296,No,2023-08-10,
100297,Yes,2023-11-12,2.8
100298,Yes,2023-06-03,3.1
100299,No,2023-03-02,
100300,No,2021-10-07,
100301,NO,2022-01-01,
100302,No,2022-03-12,
100303,Yes,2022-02-19,2.27
100304,0,2023-05-18,
100305,False,2023-05-26,
100306,Yes,2021-10-30,2.48
100307,No,2022-02-25,
100308,0,2021-09-20,
100309,No,2023-10-18,
100310,No,2021-09-26,
100311,Yes,2024-01-18,1.52
100312,Yes,,2.59
100313,No,2021-08-04,
100314,Yes,2023-02-26,1.49
100315,No,2024-08-24,
100316,Yes,2023-06-24,2.21
100317,Yes,2022-06-10,2.27
100318,No,2022-06-12,-1.0
100319,No,2022-01-15,
100320,No,2022-09-19,
100321,Yes,2022-10-05,2.61
100322,No,2024-02-05,
100323,No,2022-12-11,
100324,No,2021-11-10,
100325,No,2022-04-19,
100326,No,2023-09-16,
100327,No,2023-05-26,
100328,No,2023-12-19,7.5
100329,Yes,2022-06-12,2.64
100330,No,2021-09-26,
100331,Yes,2023-02-21,2.66
100332,No,2023-12-12,
100333,No,2023-09-10,
100334,No,2023-11-12,7.5
100335,No,2023-01-18,
100336,NO,2022-01-31,
100337,Yes,2024-03-27,2.15
100338,Yes,2022-09-19,1.61
100339,1,2022-06-06,3.15
100340,No,2024-04-01,
100341,Yes,2022-08-23,2.75
100342,No,2022-04-06,
100343,No,2023-06-08,
100344,Yes,2022-10-16,2.65
100345,No,2024-02-13,
100346,Yes,2022-04-15,7.5
100347,Yes,2022-04-16,2.48
100348,Yes,2023-09-20,1.94
100349,No,2023-12-29,
100350,No,2022-06-16,
100351,No,2023-08-12,
100352,No,2023-01-19,
100353,No,2023-01-22,
100354,Yes,2022-06-28,2.28
100355,No,2023-01-23,-1.0
100356,No,2021-11-26,
100357,Yes,2024-03-30,2.15
100358,1,2022-05-31,3.07
100359,Yes,2023-01-02,2.23
100360,No,2024-06-19,
100361,Yes,2023-11-19,2.89
100362,No,2022-09-02,
100363,Yes,2023-12-12,2.18
100364,No,2022-08-24,
100365,No,2023-05-14,
100366,True,2024-06-27,3.1
100367,Yes,2023-08-04,2.58
100368,no,2022-11-13,
100369,Yes,2022-04-23,2.7
100370,Yes,2021-08-08,2.46
100371,No,2024-04-10,7.5
100372,Yes,2021-09-23,2.58
100373,No,2023-09-14,
100374,No,2023-01-07,
100375,No,2024-08-25,
100376,No,2022-03-07,
100377,Yes,2022-02-18,2.18
100378,No,2023-02-26,
100379,No,2021-09-12,
100380,No,2021-11-02,
100381,No,2023-04-09,
100382,No,2021-10-04,
100383,No,2023-01-09,
100384,No,2022-10-10,
100385,Yes,2021-09-29,2.98
100386,Yes,2024-03-05,1.77
100387,Yes,2023-11-12,2.36
100388,NO,2023-03-14,
100389,Yes,2023-02-10,3.52
100390,No,2021-12-09,
100391,Yes,2023-02-20,2.14
100392,YES,2024-06-11,2.84
100393,Yes,2023-09-14,2.15
100394,No,2021-10-12,
100395,Yes,2023-07-05,2.47
100396,Yes,2021-10-16,2.63
100397,Yes,2021-09-08,2.01
100398,N,2023-01-17,
100399,No,2023-12-10,
100400,1,2021-08-12,3.44
100401,No,2024-07-12,
100402,Yes,2022-10-06,2.1
100403,NO,2023-12-28,
100404,No,2023-07-25,
100405,Yes,2024-08-06,2.94
100406,Yes,2023-05-14,2.04
100407,No,2021-12-27,
100408,Yes,2023-05-17,3.79
100409,No,2023-09-28,
100410,No,2022-01-24,
100411,No,2024-05-27,
100412,No,2023-06-06,
100413,Yes,2021-10-14,1.18
100414,No,2021-10-02,
100415,No,2021-12-23,
100416,Y,2022-10-28,2.5
100417,No,2023-09-03,
100418,No,2023-06-02,
100419,No,2022-03-10,
100420,Yes,2023-01-09,3.3
100421,No,2022-08-08,
100422,Yes,,2.22
100423,No,2023-07-17,
100424,No,2022-01-29,
100425,No,2023-03-19,
100426,Yes,2021-11-27,2.66
100427,No,2023-02-18,
100428,Yes,2024-05-20,2.79
100429,N,2021-10-13,
100430,No,2021-09-10,
100431,YES,2022-12-26,2.5
100432,No,2022-03-20,
100433,Yes,2023-10-28,2.32
100434,0,,
100435,No,2022-11-30,
100436,yes,2024-04-29,3.32
100437,No,,
100438,No,2023-05-05,
100439,No,2023-09-24,
100440,Yes,2023-03-31,2.68
100441,No,2022-12-09,
100442,No,,
100443,No,2024-06-12,
100444,Yes,2022-09-21,2.8
100445,Yes,2024-06-03,3.07
100446,NO,2023-08-16,
100447,Yes,2023-08-29,2.43
100448,Yes,2022-12-31,2.62
100449,Yes,2023-04-28,2.92
100450,Yes,2022-03-25,1.27
100451,No,2022-04-03,
100452,Yes,2024-01-09,2.38
100453,Yes,2021-12-21,2.9
100454,Yes,2022-06-17,2.41
100455,Yes,2022-12-30,3.48
100456,No,2021-09-02,
100457,Yes,2024-06-08,2.09
100458,No,2021-09-25,
100459,No,2023-12-23,
100460,No,2023-05-03,
