student_id,scholarship_awarded,award_date
100001,No,2021-10-04
100002,Yes,
100003,No,2023-05-14
100004,Yes,
100005,Yes,2021-07-11
100006,No,2021-08-05
100007,0,2021-09-08
100008,No,2022-02-11
100009,No,2022-01-16
100010,No,2022-04-22
100011,Yes,2023-04-12
100012,0,2022-07-14
100013,No,2021-05-04
100014,Yes,2022-10-30
100015,No,2023-08-04
100016,No,2021-01-16
100017,Yes,2022-01-26
100018,No,2022-11-03
100019,No,2022-06-13
100020,Yes,2021-01-10
100021,No,2021-04-05
100022,N,2023-08-08
100023,No,2021-03-16
100024,yes,2022-10-09
100025,Yes,2023-07-25
100026,No,2023-04-15
100027,True,2022-10-12
100028,No,2021-02-08
100029,No,2021-12-22
100030,No,2022-09-03
100031,No,2022-02-06
100032,No,2021-03-06
100033,Yes,2023-06-13
100034,No,2022-05-27
100035,Yes,2023-06-22
100036,Yes,2022-05-20
100037,No,2023-01-11
100038,Yes,2022-05-29
100039,No,2021-07-09
100040,yes,2021-08-12
100041,No,2022-07-15
100042,Yes,2022-10-30
100043,Yes,2022-09-22
100044,Yes,2022-04-08
100045,Yes,2022-03-26
100046,No,2021-07-20
100047,No,2023-04-15
100048,Yes,2021-10-09
100049,No,
100050,No,2022-08-22
100051,No,2021-08-20
100052,No,2022-09-22
100053,yes,2022-02-06
100054,no,2022-09-22
100055,Yes,2022-08-07
100056,No,
100057,Yes,2021-06-19
100058,No,2023-08-03
100059,Yes,2022-10-21
100060,No,2021-09-13
100061,YES,2021-09-02
100062,No,2021-07-24
100063,False,2022-06-25
100064,1,2022-09-10
100065,No,2022-10-30
100066,No,2023-04-20
100067,No,
100068,No,2023-08-18
100069,Yes,2022-01-08
100070,Yes,2022-02-13
100071,No,2021-11-17
100072,No,2022-12-06
100073,No,2021-02-09
100074,False,2022-03-12
100075,Yes,2022-05-18
100076,No,2023-01-04
100077,No,2022-06-14
100078,No,2021-06-18
100079,0,2022-07-09
100080,No,2022-01-23
100081,No,2022-03-04
100082,No,2023-02-04
100083,No,2021-04-18
100084,No,2022-08-26
100085,Yes,2022-09-21
100086,No,2023-02-11
100087,No,2022-08-19
100088,0,2021-12-31
100089,Yes,2021-01-16
100090,No,2022-06-09
100091,No,2021-09-12
100092,No,2021-08-25
100093,Yes,2022-03-26
100094,N,2022-06-26
100095,No,2021-02-01
100096,No,2021-02-20
100097,Yes,
100098,Yes,2022-10-25
100099,No,2023-03-12
100100,No,2023-03-04
100101,No,2023-08-09
100102,No,2021-02-25
100103,No,2021-10-14
100104,No,2022-12-25
100105,Yes,2023-07-08
100106,No,2023-01-21
100107,NO,2023-05-31
100108,No,2021-02-24
100109,Yes,2022-07-10
100110,Yes,2021-04-22
100111,No,2023-08-26
100112,no,2023-06-01
100113,No,2021-05-22
100114,False,2023-03-30
100115,No,2023-05-28
100116,no,
100117,No,2023-04-11
100118,No,2023-03-16
100119,no,2021-04-13
100120,Yes,2022-11-30
100121,Yes,2022-08-30
100122,No,2021-05-27
100123,NO,2022-09-19
100124,Yes,2022-03-31
100125,No,2021-02-13
100126,No,2023-03-16
100127,Y,2022-12-20
100128,No,2021-04-07
100129,No,2022-03-03
100130,No,2021-11-03
100131,No,2022-03-04
100132,No,2023-06-04
100133,Yes,2022-10-18
100134,No,2022-11-01
100135,Yes,2023-04-24
100136,No,2022-01-25
100137,No,2023-07-31
100138,No,2023-05-08
100139,No,2022-08-18
100140,no,2021-04-09
100141,YES,2022-08-18
100142,No,2021-06-23
100143,No,2021-02-08
100144,0,2021-07-19
100145,No,2021-04-26
100146,Yes,2021-09-14
100147,No,2022-07-05
100148,True,2022-05-11
100149,Yes,2022-01-02
100150,Yes,2023-05-24
100151,Yes,2022-11-05
100152,Yes,2021-05-20
100153,No,2023-06-22
100154,No,2021-01-01
100155,No,2023-04-15
100156,No,2021-03-07
100157,No,2023-07-02
100158,Yes,2023-07-17
100159,No,2023-03-23
100160,No,2021-10-14
100161,Yes,2022-10-30
100162,0,2022-02-01
100163,Yes,2023-04-25
100164,no,2022-01-28
100165,No,2021-05-10
100166,No,2021-12-24
100167,No,2023-02-11
100168,Y,2021-04-03
100169,No,2021-08-09
100170,No,2022-08-19
100171,No,2022-07-05
100172,No,2021-08-09
100173,No,2021-01-12
100174,No,2022-06-09
100175,Yes,2022-05-17
100176,No,2021-12-22
100177,Yes,2022-04-17
100178,No,2021-05-06
100179,Yes,2023-05-01
100180,No,2022-06-03
100181,No,2022-04-21
100182,No,2022-01-07
100183,No,2021-12-12
100184,N,2022-12-15
100185,0,2021-08-09
100186,No,2023-01-19
100187,No,2022-08-26
100188,N,2021-03-19
100189,Yes,2021-12-02
100190,Yes,2023-06-14
100191,no,2023-02-09
100192,No,2023-03-02
100193,False,2022-06-24
100194,No,2021-10-08
100195,No,2022-03-03
100196,No,2021-12-20
100197,No,2021-12-01
100198,No,2022-08-02
100199,No,2022-08-23
100200,No,2021-03-08
100201,No,2023-03-16
100202,No,2023-03-26
100203,No,2023-07-08
100204,No,2022-03-14
100205,No,2021-05-08
100206,No,2022-07-24
100207,Yes,2022-10-23
100208,No,2023-02-06
100209,no,2021-03-11
100210,Yes,2022-05-31
100211,No,2021-12-29
100212,No,2021-03-30
100213,No,2022-06-15
100214,No,2023-03-03
100215,No,2021-06-29
100216,No,2021-08-28
100217,No,2022-04-02
100218,No,2022-06-21
100219,Yes,2021-08-20
100220,No,2021-09-19
100221,No,2021-06-30
100222,True,2021-04-25
100223,No,2021-07-19
100224,No,2023-01-30
100225,Yes,2023-08-20
100226,No,2022-12-28
100227,No,
100228,No,2023-05-26
100229,No,2022-06-08
100230,Yes,2022-08-28
100231,Yes,2022-02-16
100232,No,2022-02-19
100233,No,2023-03-22
100234,No,2021-03-19
100235,No,2022-10-26
100236,No,2022-03-25
100237,N,2023-01-26
100238,no,2022-02-10
100239,N,2022-09-01
100240,False,2022-09-23
100241,No,2022-07-01
100242,No,2022-01-15
100243,No,2022-09-16
100244,no,2023-08-12
100245,No,2023-07-21
100246,Yes,2022-03-13
100247,Yes,2023-08-24
100248,0,2023-04-24
100249,No,2022-07-31
100250,Yes,2021-05-24
100251,Yes,2021-11-10
100252,1,
100253,No,2021-09-14
100254,No,2023-04-02
100255,Yes,2022-03-27
100256,No,2021-12-08
100257,No,2021-08-26
100258,No,2021-03-28
100259,False,2021-04-11
100260,No,2021-12-14
100261,No,2023-06-05
100262,Yes,2023-01-07
100263,Yes,2023-07-08
100264,Y,2021-08-13
100265,NO,2021-12-04
100266,No,2022-01-17
100267,False,2021-04-07
100268,Yes,2023-07-22
100269,No,2023-07-14
100270,True,2022-05-12
100271,1,2022-08-03
100272,No,2022-11-24
100273,No,2023-04-16
100274,No,2023-01-21
100275,No,2023-06-15
100276,No,2021-03-10
100277,No,2022-12-04
100278,Yes,2022-06-07
100279,Yes,2021-04-15
100280,No,2021-05-25
100281,Yes,2023-03-09
100282,Yes,2023-03-25
100283,No,2021-01-22
100284,Yes,2021-07-16
100285,Yes,2022-12-05
100286,Yes,2021-03-29
100287,N,2022-07-03
100288,Yes,2022-05-13
100289,No,
100290,yes,2023-06-08
100291,no,2022-05-13
100292,No,2021-12-05
100293,No,2022-07-08
100294,No,2023-07-06
100295,No,2023-03-28
100296,1,2021-02-13
100297,False,2023-05-20
100298,No,2022-09-10
100299,No,2022-08-24
100300,No,2021-11-06
100301,No,2022-07-26
100302,No,2021-10-25
100303,No,2022-02-26
100304,Yes,2022-05-12
100305,Yes,2023-03-26
100306,No,2023-01-04
100307,No,2022-03-11
100308,No,2021-03-09
100309,No,2021-11-14
100310,No,2022-09-09
100311,No,2023-06-25
100312,Yes,2022-05-13
100313,Yes,2022-08-31
100314,No,2023-01-17
100315,No,2022-01-26
100316,Yes,2022-01-24
100317,No,2022-12-25
100318,No,2021-10-03
100319,No,2021-01-08
100320,No,2022-03-11
100321,Yes,2021-08-06
100322,Yes,2023-05-14
100323,No,2022-04-22
100324,0,2023-01-26
100325,No,2022-07-06
100326,False,
100327,No,2022-08-12
100328,No,2021-06-18
100329,No,2022-09-01
100330,Yes,2021-02-10
100331,Yes,2021-11-01
100332,No,2022-07-14
100333,No,2023-04-16
100334,No,2022-09-24
100335,No,2021-12-03
100336,No,2021-02-06
100337,Yes,2021-01-18
100338,No,2023-03-09
100339,No,2022-01-19
100340,No,2022-01-22
100341,Yes,2021-05-15
100342,0,2021-12-30
100343,No,2021-10-08
100344,No,2023-04-27
100345,No,2022-08-05
100346,Yes,2021-02-04
100347,No,2022-08-18
100348,Yes,2021-12-31
100349,No,2022-02-24
100350,No,2023-05-25
100351,Yes,2021-03-07
100352,No,2021-06-23
100353,Yes,2021-08-22
100354,No,2023-02-28
100355,No,2023-02-23
100356,No,2021-11-25
100357,Yes,2022-04-21
100358,Yes,2021-05-06
100359,Yes,2022-12-31
100360,No,2022-01-06
100361,No,2021-04-20
