student_id,test_date,test_score
100001,2021-02-27,75.9
100002,2023-01-01,51.9
100003,2021-02-24,78.4
100004,2020-10-01,88.4
100005,2022-04-21,95.9
100006,2020-11-07,62.5
100007,2021-09-26,96.8
100008,2021-07-13,69.8
100009,2023-04-05,77.0
100010,2021-02-18,72.5
100011,2020-10-21,66.0
100012,2022-03-02,-5.0
100013,2021-02-20,73.7
100014,2023-05-20,100.0
100015,2022-04-02,73.9
100016,2022-02-08,79.2
100017,2021-11-06,99.4
100018,2023-03-30,68.2
100019,2021-06-21,70.1
100020,2022-08-21,94.0
100021,2023-05-17,63.7
100022,2021-01-18,73.3
100023,2022-06-22,67.1
100024,2023-01-29,86.4
100025,2023-02-27,100.0
100026,2021-11-04,81.1
100027,2022-03-20,88.9
100028,2021-05-24,77.5
100029,2021-10-11,79.0
100030,2020-12-30,71.6
100031,2021-04-09,83.7
100032,2021-05-10,79.7
100033,2020-09-30,90.2
100034,2021-12-30,59.4
100035,2022-08-16,140.0
100036,2022-01-12,90.2
100037,2020-12-13,84.7
100038,2021-06-16,85.6
100039,2023-05-23,74.9
100040,2022-12-20,92.9
100041,2021-01-06,79.0
100042,2020-09-18,76.7
100043,2023-03-21,76.3
100044,2022-02-01,100.0
100045,2022-02-12,85.8
100046,2022-04-12,78.6
100047,2023-02-18,69.6
100048,2021-02-25,46.1
100049,2021-07-17,49.9
100050,2021-09-14,66.4
100051,2022-11-20,67.3
100052,2021-06-30,56.7
100053,2023-05-02,86.6
100054,2020-10-11,71.0
100055,2022-07-05,93.9
100056,2022-04-17,77.8
100057,2023-04-07,86.2
100058,2021-06-21,74.1
100059,2021-02-04,95.5
100060,2021-11-29,83.2
100061,2021-05-28,70.3
100062,2021-09-01,66.2
100063,2022-03-04,73.4
100064,2022-06-11,89.4
100065,2021-10-31,83.9
100066,2021-04-15,77.1
100067,2020-09-29,84.7
100068,2022-09-19,73.7
100069,2020-12-20,98.8
100070,2022-09-29,79.4
100071,2023-02-17,82.3
100072,2022-09-18,69.2
100073,2021-02-03,82.4
100074,2022-10-20,96.4
100075,2021-04-07,70.6
100076,2021-12-01,75.5
100077,2021-11-22,69.0
100078,2021-04-06,72.2
100079,2023-01-17,76.4
100080,2022-02-23,69.7
100081,2021-08-09,69.1
100082,2020-12-12,82.0
100083,2022-09-12,80.0
100084,2020-09-07,66.5
100085,2021-07-19,90.2
100086,2022-07-09,78.6
100087,2020-12-17,66.9
100088,2022-04-09,67.5
100089,2020-10-09,79.5
100090,2021-06-03,80.8
100091,2022-02-11,62.2
100092,2022-07-19,84.0
100093,2021-02-02,85.8
100094,2020-12-31,84.0
100095,2021-03-20,83.2
100096,2023-04-08,83.9
100097,2020-10-30,92.6
100098,2020-10-19,85.8
100099,2021-02-26,58.6
100100,2022-11-30,71.0
100101,2022-12-25,81.9
100102,2021-11-24,60.5
100103,2023-01-13,67.0
100104,2022-09-12,77.7
100105,2021-12-28,95.3
100106,2022-12-11,77.2
100107,2021-12-19,84.3
100108,2022-05-05,77.5
100109,2020-09-09,86.0
100110,2022-05-13,72.4
100111,2022-12-18,66.0
100112,2020-09-19,68.1
100113,2021-10-16,100.0
100114,2021-08-22,65.8
100115,2020-12-06,70.7
100116,2021-11-29,76.0
100117,2022-12-04,69.9
100118,2023-02-17,75.5
100119,2020-10-10,84.5
100120,2020-10-15,65.8
100121,2022-04-06,88.4
100122,2021-10-17,65.0
100123,2022-08-28,67.9
100124,2022-02-04,91.7
100125,2021-09-03,67.8
100126,2022-08-27,57.7
100127,2022-08-05,77.2
100128,2023-03-08,79.2
100129,2023-04-02,84.1
100130,2023-04-13,75.2
100131,2021-07-14,80.2
100132,2022-11-08,78.0
100133,2021-06-11,98.0
100134,2021-02-05,82.5
100135,2022-10-18,
100136,2021-09-01,71.7
100137,2021-09-03,74.2
100138,2021-08-21,61.4
100139,2020-09-06,75.4
100140,2023-01-17,69.1
100141,2021-08-20,89.6
100142,2022-04-20,70.9
100143,2023-01-26,75.6
100144,2022-01-28,67.9
100145,2021-10-25,77.7
100146,2022-04-20,75.0
100147,2023-03-25,81.8
100148,2020-10-15,82.5
100149,2023-03-21,85.0
100150,2020-11-08,68.9
100151,2020-12-03,76.6
100152,2023-01-22,85.8
100153,2021-11-19,61.5
100154,2022-07-31,87.8
100155,2020-12-22,75.7
100156,2021-09-14,82.1
100157,2020-09-07,71.0
100158,2023-01-21,50.4
100159,2021-10-22,83.1
100160,2023-02-20,70.6
100161,2021-07-03,63.2
100162,2021-12-03,75.6
100163,2020-12-04,93.8
100164,2022-12-29,97.0
100165,2021-11-04,78.5
100166,2021-09-13,77.4
100167,2021-12-28,73.1
100168,2022-05-04,93.9
100169,2022-07-06,67.2
100170,2021-08-27,52.1
100171,2021-06-12,84.4
100172,2021-05-12,83.0
100173,2021-10-10,78.8
100174,2022-12-01,80.6
100175,2021-06-30,59.8
100176,2021-09-14,73.9
100177,2022-01-28,88.8
100178,2023-03-15,78.5
100179,2021-11-04,100.0
100180,2022-08-19,82.9
100181,2021-07-23,77.2
100182,2022-02-27,77.5
100183,2020-11-09,67.1
100184,2020-12-22,73.4
100185,2021-08-28,52.5
100186,2022-11-09,69.0
100187,2022-03-09,72.4
100188,2021-04-26,74.9
100189,2023-05-07,84.2
100190,2021-08-07,89.1
100191,2023-03-03,140.0
100192,2021-09-09,75.9
100193,2021-10-11,82.1
100194,2022-08-25,59.8
100195,2023-05-14,76.3
100196,2021-01-03,78.1
100197,2023-02-11,80.6
100198,2022-08-23,74.7
100199,2022-05-23,68.1
100200,2022-10-02,75.8
100201,2021-11-01,80.1
100202,2022-02-06,73.6
100203,not_a_date,84.1
100204,2022-08-07,74.7
100205,2021-12-31,76.6
100206,2020-11-15,66.5
100207,2021-05-02,81.5
100208,2023-01-19,68.7
100209,2023-02-04,80.7
100210,2022-09-28,86.1
100211,2022-02-01,75.8
100212,2021-03-08,79.3
100213,2022-07-08,78.9
100214,2021-05-09,85.0
100215,2020-10-20,67.9
100216,2021-01-09,62.4
100217,2021-12-15,80.6
100218,2021-03-11,82.3
100219,2022-08-22,100.0
100220,2022-12-07,70.8
100221,2022-01-31,74.0
100222,2023-05-25,95.0
100223,2022-02-09,84.9
100224,2022-08-25,78.9
100225,2022-03-11,87.5
100226,2022-11-29,77.9
100227,2022-11-24,79.1
100228,2023-03-24,63.6
100229,2020-11-07,70.0
100230,2022-09-16,61.3
100231,2021-06-28,100.0
100232,2020-12-06,82.6
100233,2022-02-01,66.5
100234,2021-09-14,79.6
100235,2021-10-12,69.5
100236,2022-07-31,57.6
100237,2021-06-10,82.1
100238,2022-04-08,87.9
100239,2021-02-01,66.3
100240,2021-08-31,85.0
100241,2020-11-07,84.4
100242,2022-09-16,77.0
100243,2021-08-01,63.3
100244,2022-09-10,72.6
100245,2022-08-07,76.8
100246,2021-09-16,
100247,2021-05-24,70.0
100248,2023-05-12,76.3
100249,2021-01-11,84.3
100250,2022-09-16,85.4
100251,2021-10-05,72.1
100252,2021-05-06,91.1
100253,2022-08-31,82.4
100254,2021-02-16,72.3
100255,2021-08-08,86.5
100256,2022-11-25,76.2
100257,2021-02-17,83.3
100258,2020-11-19,59.7
100259,2022-10-22,84.8
100260,2021-04-05,73.1
100261,2021-05-20,64.9
100262,2021-09-24,87.1
100263,2022-05-20,85.7
100264,not_a_date,89.9
100265,2022-06-15,50.5
